to_date('22-03-2003', 'DD-MM-YYYY')
to_date('29-04-1993', 'DD-MM-YYYY')
to_date('25-04-1954', 'DD-MM-YYYY')
to_date('11-05-2003', 'DD-MM-YYYY')
to_date('20-08-1952', 'DD-MM-YYYY')
to_date('11-08-1953', 'DD-MM-YYYY')
to_date('19-12-1984', 'DD-MM-YYYY')
to_date('05-04-1960', 'DD-MM-YYYY')
to_date('27-11-2002', 'DD-MM-YYYY')
to_date('01-02-1976', 'DD-MM-YYYY')
to_date('16-11-2001', 'DD-MM-YYYY')
to_date('18-06-1993', 'DD-MM-YYYY')
to_date('14-03-1960', 'DD-MM-YYYY')
to_date('09-08-1994', 'DD-MM-YYYY')
to_date('25-03-1982', 'DD-MM-YYYY')
to_date('07-07-1960', 'DD-MM-YYYY')
to_date('03-01-2003', 'DD-MM-YYYY')
to_date('23-02-1992', 'DD-MM-YYYY')
to_date('08-07-1957', 'DD-MM-YYYY')
to_date('28-07-1987', 'DD-MM-YYYY')
to_date('05-03-1959', 'DD-MM-YYYY')
to_date('20-04-1957', 'DD-MM-YYYY')
to_date('17-07-1972', 'DD-MM-YYYY')
to_date('06-08-1994', 'DD-MM-YYYY')
to_date('11-07-1961', 'DD-MM-YYYY')
to_date('27-06-1976', 'DD-MM-YYYY')
to_date('08-07-1950', 'DD-MM-YYYY')
to_date('04-05-1956', 'DD-MM-YYYY')
to_date('26-02-1993', 'DD-MM-YYYY')
to_date('29-10-1973', 'DD-MM-YYYY')
to_date('31-08-1975', 'DD-MM-YYYY')
to_date('13-06-1952', 'DD-MM-YYYY')
to_date('20-06-1957', 'DD-MM-YYYY')
to_date('18-02-1953', 'DD-MM-YYYY')
to_date('12-05-2002', 'DD-MM-YYYY')
to_date('06-05-1998', 'DD-MM-YYYY')
to_date('11-12-1970', 'DD-MM-YYYY')
to_date('02-02-1956', 'DD-MM-YYYY')
to_date('20-04-1961', 'DD-MM-YYYY')
to_date('16-12-2000', 'DD-MM-YYYY')
to_date('23-10-1984', 'DD-MM-YYYY')
to_date('22-11-1989', 'DD-MM-YYYY')
to_date('11-11-1995', 'DD-MM-YYYY')
to_date('01-11-1957', 'DD-MM-YYYY')
to_date('07-12-1989', 'DD-MM-YYYY')
to_date('14-12-1966', 'DD-MM-YYYY')
to_date('03-03-1984', 'DD-MM-YYYY')
to_date('24-08-1999', 'DD-MM-YYYY')
to_date('21-03-1959', 'DD-MM-YYYY')
to_date('27-06-1962', 'DD-MM-YYYY')
to_date('23-10-1993', 'DD-MM-YYYY')
to_date('25-08-1961', 'DD-MM-YYYY')
to_date('08-03-1967', 'DD-MM-YYYY')
to_date('22-09-1988', 'DD-MM-YYYY')
to_date('09-04-1983', 'DD-MM-YYYY')
to_date('04-02-2002', 'DD-MM-YYYY')
to_date('13-12-1958', 'DD-MM-YYYY')
to_date('13-08-1950', 'DD-MM-YYYY')
to_date('28-08-2003', 'DD-MM-YYYY')
to_date('17-07-1995', 'DD-MM-YYYY')
to_date('18-08-1960', 'DD-MM-YYYY')
to_date('06-03-1961', 'DD-MM-YYYY')
to_date('30-09-1950', 'DD-MM-YYYY')
to_date('07-10-1969', 'DD-MM-YYYY')
to_date('22-05-1976', 'DD-MM-YYYY')
to_date('12-06-1996', 'DD-MM-YYYY')
to_date('09-09-1971', 'DD-MM-YYYY')
to_date('26-05-1972', 'DD-MM-YYYY')
to_date('20-09-1996', 'DD-MM-YYYY')
to_date('10-12-1993', 'DD-MM-YYYY')
to_date('10-01-2004', 'DD-MM-YYYY')
